id,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,nbumps6,nbumps7,nbumps89,energy,maxenergy,class
642,b,b,W,92780,1256,173,172,b,5,2,2,1,0,0,0,0,23500,20000,1
643,a,b,W,81410,441,-19,-56,a,3,2,1,0,0,0,0,0,10200,9000,1
644,a,a,W,54150,307,-46,-35,a,3,3,0,0,0,0,0,0,800,300,1
645,a,a,W,69660,362,-10,-8,a,2,2,0,0,0,0,0,0,800,500,1
646,a,a,W,20250,157,-41,-39,a,4,3,1,0,0,0,0,0,2600,1000,1
647,a,a,W,29150,259,0,18,a,1,1,0,0,0,0,0,0,600,600,1
648,b,a,W,40200,334,45,59,a,1,1,0,0,0,0,0,0,900,900,1
649,a,a,N,4420,60,-2,28,a,0,0,0,0,0,0,0,0,0,0,1
650,a,b,W,31390,376,-7,18,a,2,0,2,0,0,0,0,0,6000,4000,1
651,b,a,W,11230,103,-65,-68,a,4,1,2,1,0,0,0,0,25200,20000,1
652,a,a,W,21760,250,-54,-48,a,2,2,0,0,0,0,0,0,600,400,1
653,a,b,W,20160,243,-47,-36,a,2,1,1,0,0,0,0,0,2700,2000,1
654,a,a,W,71080,767,88,94,a,5,3,2,0,0,0,0,0,4600,2000,1
655,a,a,W,50090,699,-5,19,a,3,1,2,0,0,0,0,0,12600,7000,1
656,a,b,W,44770,770,-22,2,a,1,0,1,0,0,0,0,0,1000,1000,1
657,b,a,W,51230,944,-10,8,a,2,0,2,0,0,0,0,0,5000,3000,1
658,b,a,W,29900,665,-50,-31,a,1,1,0,0,0,0,0,0,900,900,1
659,a,a,W,107100,1003,-28,-21,a,3,3,0,0,0,0,0,0,1600,600,1
660,b,a,W,127110,1140,-12,-9,a,3,1,1,1,0,0,0,0,22600,20000,1
661,b,a,W,134890,1411,-10,9,a,1,0,1,0,0,0,0,0,6000,6000,1
662,b,b,W,306400,2522,112,98,b,3,2,0,1,0,0,0,0,31000,30000,1
663,b,b,W,83490,898,-49,-37,b,2,1,0,0,1,0,0,0,100300,100000,1
664,a,a,W,95280,1031,-32,-21,a,2,1,1,0,0,0,0,0,3600,3000,1
665,a,a,N,12490,122,-59,-39,a,1,1,0,0,0,0,0,0,700,700,1
666,b,a,W,166220,1762,7,20,a,0,0,0,0,0,0,0,0,0,0,1
667,b,a,W,127010,1388,-30,-22,a,3,0,3,0,0,0,0,0,9000,5000,1
668,b,a,W,167100,1690,-7,-6,a,1,0,1,0,0,0,0,0,7000,7000,1
669,b,a,W,254750,2932,50,66,a,1,0,1,0,0,0,0,0,2000,2000,1
670,b,a,W,118110,1660,-34,-15,a,1,0,1,0,0,0,0,0,2000,2000,1
671,a,a,N,6040,112,-44,-24,a,2,1,1,0,0,0,0,0,2400,2000,1
672,a,a,W,18960,178,-38,-47,a,3,2,1,0,0,0,0,0,5800,5000,1
673,a,b,N,52000,134,44,97,a,0,0,0,0,0,0,0,0,0,0,1
674,a,a,W,79240,1381,124,47,a,0,0,0,0,0,0,0,0,0,0,1
675,a,b,W,21060,242,-14,-42,a,0,0,0,0,0,0,0,0,0,0,1
676,b,a,W,49510,521,89,27,a,0,0,0,0,0,0,0,0,0,0,1
677,a,b,W,31800,769,295,313,b,0,0,0,0,0,0,0,0,0,0,1
678,b,b,W,19680,288,121,37,b,0,0,0,0,0,0,0,0,0,0,1
679,a,a,W,17670,538,4,-3,a,0,0,0,0,0,0,0,0,0,0,1
680,b,a,W,20860,470,180,131,a,0,0,0,0,0,0,0,0,0,0,1
681,b,a,W,29500,794,119,106,a,0,0,0,0,0,0,0,0,0,0,1
682,b,b,W,42220,515,159,79,a,0,0,0,0,0,0,0,0,0,0,1
683,b,b,W,61620,1211,176,104,a,0,0,0,0,0,0,0,0,0,0,1
684,b,b,W,46640,1439,88,116,a,0,0,0,0,0,0,0,0,0,0,1
685,b,b,W,21060,588,-37,-36,b,0,0,0,0,0,0,0,0,0,0,1
686,a,a,W,25200,318,-20,-40,a,1,0,1,0,0,0,0,0,1000,1000,1
687,b,b,W,55200,1259,35,9,a,1,0,1,0,0,0,0,0,4000,4000,1
688,a,a,W,40070,501,16,-11,a,0,0,0,0,0,0,0,0,0,0,1
689,a,b,W,64380,844,94,57,a,4,3,1,0,0,0,0,0,4200,3000,1
690,a,b,W,35450,567,6,8,a,2,2,0,0,0,0,0,0,600,500,1
691,a,b,W,43270,673,29,28,a,0,0,0,0,0,0,0,0,0,0,1
692,b,b,W,36100,608,8,17,a,0,0,0,0,0,0,0,0,0,0,1
693,a,b,W,18820,396,-45,-28,a,0,0,0,0,0,0,0,0,0,0,1
694,b,b,W,58460,540,73,1,a,2,1,1,0,0,0,0,0,3900,3000,1
695,b,a,W,19890,236,-40,-55,a,1,0,1,0,0,0,0,0,8000,8000,1
696,b,a,W,20550,381,-37,-26,a,0,0,0,0,0,0,0,0,0,0,1
697,b,a,W,26210,619,-20,20,a,0,0,0,0,0,0,0,0,0,0,1
698,a,a,N,7290,185,-20,0,a,0,0,0,0,0,0,0,0,0,0,1
699,b,a,W,58850,679,113,-20,a,3,3,0,0,0,0,0,0,1300,800,1
700,a,b,W,59840,696,124,7,a,2,1,1,0,0,0,0,0,6300,6000,1
701,a,b,W,66030,812,112,52,a,0,0,0,0,0,0,0,0,0,0,1
702,b,b,W,21220,540,-26,-14,b,0,0,0,0,0,0,0,0,0,0,1
703,a,a,W,20760,324,41,6,a,1,1,0,0,0,0,0,0,400,400,1
704,b,a,W,27320,453,17,-4,a,0,0,0,0,0,0,0,0,0,0,1
705,a,a,W,48560,726,105,58,a,0,0,0,0,0,0,0,0,0,0,1
706,b,b,W,45330,648,72,40,b,2,2,0,0,0,0,0,0,900,600,1
707,a,a,W,32810,524,-3,-2,a,0,0,0,0,0,0,0,0,0,0,1
708,a,a,W,77740,758,182,57,a,2,1,1,0,0,0,0,0,1200,1000,1
709,a,a,W,46540,729,69,51,a,1,1,0,0,0,0,0,0,300,300,1
710,a,c,W,67230,1155,57,75,b,2,1,1,0,0,0,0,0,3500,3000,1
711,a,c,W,95180,1144,122,73,b,2,0,1,1,0,0,0,0,27000,20000,1
712,b,b,N,16930,792,121,234,a,1,1,0,0,0,0,0,0,200,200,1
713,b,a,W,59360,1033,107,31,a,2,1,1,0,0,0,0,0,2400,2000,1
714,b,a,W,99010,1360,82,62,a,3,1,2,0,0,0,0,0,4200,2000,1
715,b,b,W,49120,485,96,-3,a,0,0,0,0,0,0,0,0,0,0,1
716,a,b,W,32920,363,32,-27,a,0,0,0,0,0,0,0,0,0,0,1
717,b,b,W,40620,398,56,-18,a,0,0,0,0,0,0,0,0,0,0,1
718,a,a,W,18590,320,-34,-31,a,0,0,0,0,0,0,0,0,0,0,1
719,b,a,W,25160,411,-20,-8,a,0,0,0,0,0,0,0,0,0,0,1
720,a,b,W,34350,462,15,5,a,0,0,0,0,0,0,0,0,0,0,1
721,a,a,N,1620,55,-85,-72,a,0,0,0,0,0,0,0,0,0,0,1
722,a,a,W,10910,269,-30,-5,a,1,0,1,0,0,0,0,0,1000,1000,1
723,b,a,W,36410,646,152,142,a,0,0,0,0,0,0,0,0,0,0,1
724,a,a,N,9070,195,-11,4,a,0,0,0,0,0,0,0,0,0,0,1
725,a,a,W,28000,572,115,119,a,0,0,0,0,0,0,0,0,0,0,1
